region_id,region_name,period_begin,period_end,duration,median_sale_price
41884,"San Francisco, CA metro area",02-01-2017,08-01-2017,1 weeks,1152500
41884,"San Francisco, CA metro area",09-01-2017,15-01-2017,1 weeks,945050
41884,"San Francisco, CA metro area",16-01-2017,22-01-2017,1 weeks,955000
41884,"San Francisco, CA metro area",23-01-2017,29-01-2017,1 weeks,1180000
41884,"San Francisco, CA metro area",30-01-2017,05-02-2017,1 weeks,1275000
41884,"San Francisco, CA metro area",06-02-2017,12-02-2017,1 weeks,1041500
41884,"San Francisco, CA metro area",13-02-2017,19-02-2017,1 weeks,1275000
41884,"San Francisco, CA metro area",20-02-2017,26-02-2017,1 weeks,1321500
41884,"San Francisco, CA metro area",27-02-2017,05-03-2017,1 weeks,1247500
41884,"San Francisco, CA metro area",06-03-2017,12-03-2017,1 weeks,1232000
41884,"San Francisco, CA metro area",13-03-2017,19-03-2017,1 weeks,1280000
41884,"San Francisco, CA metro area",20-03-2017,26-03-2017,1 weeks,1137500
41884,"San Francisco, CA metro area",27-03-2017,02-04-2017,1 weeks,1184500
41884,"San Francisco, CA metro area",03-04-2017,09-04-2017,1 weeks,1269250
41884,"San Francisco, CA metro area",10-04-2017,16-04-2017,1 weeks,1275000
41884,"San Francisco, CA metro area",17-04-2017,23-04-2017,1 weeks,1300000
41884,"San Francisco, CA metro area",24-04-2017,30-04-2017,1 weeks,1256416.5
41884,"San Francisco, CA metro area",01-05-2017,07-05-2017,1 weeks,1300000
41884,"San Francisco, CA metro area",08-05-2017,14-05-2017,1 weeks,1250000
41884,"San Francisco, CA metro area",15-05-2017,21-05-2017,1 weeks,1310000
41884,"San Francisco, CA metro area",22-05-2017,28-05-2017,1 weeks,1398000
41884,"San Francisco, CA metro area",29-05-2017,04-06-2017,1 weeks,1277500
41884,"San Francisco, CA metro area",05-06-2017,11-06-2017,1 weeks,1375000
41884,"San Francisco, CA metro area",12-06-2017,18-06-2017,1 weeks,1280000
41884,"San Francisco, CA metro area",19-06-2017,25-06-2017,1 weeks,1300000
41884,"San Francisco, CA metro area",26-06-2017,02-07-2017,1 weeks,1232000
41884,"San Francisco, CA metro area",03-07-2017,09-07-2017,1 weeks,1260000
41884,"San Francisco, CA metro area",10-07-2017,16-07-2017,1 weeks,1280000
41884,"San Francisco, CA metro area",17-07-2017,23-07-2017,1 weeks,1300000
41884,"San Francisco, CA metro area",24-07-2017,30-07-2017,1 weeks,1250000
41884,"San Francisco, CA metro area",31-07-2017,06-08-2017,1 weeks,1206000
41884,"San Francisco, CA metro area",07-08-2017,13-08-2017,1 weeks,1260000
41884,"San Francisco, CA metro area",14-08-2017,20-08-2017,1 weeks,1287000
41884,"San Francisco, CA metro area",21-08-2017,27-08-2017,1 weeks,1232500
41884,"San Francisco, CA metro area",28-08-2017,03-09-2017,1 weeks,1200000
41884,"San Francisco, CA metro area",04-09-2017,10-09-2017,1 weeks,1235000
41884,"San Francisco, CA metro area",11-09-2017,17-09-2017,1 weeks,1198000
41884,"San Francisco, CA metro area",18-09-2017,24-09-2017,1 weeks,1275000
41884,"San Francisco, CA metro area",25-09-2017,01-10-2017,1 weeks,1300000
41884,"San Francisco, CA metro area",02-10-2017,08-10-2017,1 weeks,1360000
41884,"San Francisco, CA metro area",09-10-2017,15-10-2017,1 weeks,1230000
41884,"San Francisco, CA metro area",16-10-2017,22-10-2017,1 weeks,1300000
41884,"San Francisco, CA metro area",23-10-2017,29-10-2017,1 weeks,1300000
41884,"San Francisco, CA metro area",30-10-2017,05-11-2017,1 weeks,1277500
41884,"San Francisco, CA metro area",06-11-2017,12-11-2017,1 weeks,1350000
41884,"San Francisco, CA metro area",13-11-2017,19-11-2017,1 weeks,1425000
41884,"San Francisco, CA metro area",20-11-2017,26-11-2017,1 weeks,1320000
41884,"San Francisco, CA metro area",27-11-2017,03-12-2017,1 weeks,1302550
41884,"San Francisco, CA metro area",04-12-2017,10-12-2017,1 weeks,1295000
41884,"San Francisco, CA metro area",11-12-2017,17-12-2017,1 weeks,1353200
41884,"San Francisco, CA metro area",18-12-2017,24-12-2017,1 weeks,1251000
41884,"San Francisco, CA metro area",25-12-2017,31-12-2017,1 weeks,1370000
41884,"San Francisco, CA metro area",01-01-2018,07-01-2018,1 weeks,1288000
41884,"San Francisco, CA metro area",08-01-2018,14-01-2018,1 weeks,1325000
41884,"San Francisco, CA metro area",15-01-2018,21-01-2018,1 weeks,1330000
41884,"San Francisco, CA metro area",22-01-2018,28-01-2018,1 weeks,1300000
41884,"San Francisco, CA metro area",29-01-2018,04-02-2018,1 weeks,1210000
41884,"San Francisco, CA metro area",05-02-2018,11-02-2018,1 weeks,1362500
41884,"San Francisco, CA metro area",12-02-2018,18-02-2018,1 weeks,1430000
41884,"San Francisco, CA metro area",19-02-2018,25-02-2018,1 weeks,1375000
41884,"San Francisco, CA metro area",26-02-2018,04-03-2018,1 weeks,1475000
41884,"San Francisco, CA metro area",05-03-2018,11-03-2018,1 weeks,1455000
41884,"San Francisco, CA metro area",12-03-2018,18-03-2018,1 weeks,1408000
41884,"San Francisco, CA metro area",19-03-2018,25-03-2018,1 weeks,1325000
41884,"San Francisco, CA metro area",26-03-2018,01-04-2018,1 weeks,1422500
41884,"San Francisco, CA metro area",02-04-2018,08-04-2018,1 weeks,1400000
41884,"San Francisco, CA metro area",09-04-2018,15-04-2018,1 weeks,1440000
41884,"San Francisco, CA metro area",16-04-2018,22-04-2018,1 weeks,1474500
41884,"San Francisco, CA metro area",23-04-2018,29-04-2018,1 weeks,1450000
